epoch,train_loss,train_acc,val_loss,val_acc,lr,secs
1,5.035675,0.012245,5.021196,0.024675,0.00003411,7.603
2,5.005750,0.028571,4.989201,0.033766,0.00004040,0.471
3,4.956986,0.041187,4.923826,0.038961,0.00005082,0.411
4,4.859103,0.049351,4.812316,0.037662,0.00006525,0.421
5,4.717948,0.057143,4.679455,0.054545,0.00008352,0.527
6,4.552802,0.084972,4.521149,0.093506,0.00010545,0.447
7,4.357232,0.115399,4.332537,0.112987,0.00013078,0.593
8,4.132777,0.139518,4.132669,0.122078,0.00015924,0.390
9,3.911777,0.154731,3.954941,0.146753,0.00019052,0.383
10,3.699950,0.189981,3.808879,0.163636,0.00022427,0.382
11,3.525716,0.193321,3.676295,0.187013,0.00026013,0.380
12,3.350180,0.222263,3.548233,0.207792,0.00029769,0.361
13,3.205972,0.253432,3.474679,0.220779,0.00033656,0.381
14,3.069294,0.258998,3.370099,0.233766,0.00037630,0.353
15,2.937200,0.294249,3.273011,0.244156,0.00041647,0.366
16,2.807970,0.315770,3.231080,0.250649,0.00045664,0.380
17,2.692609,0.339518,3.131549,0.272727,0.00049636,0.321
18,2.556364,0.367718,3.066787,0.298701,0.00053520,0.310
19,2.446441,0.391466,3.024994,0.298701,0.00057273,0.315
20,2.321385,0.418553,2.985486,0.303896,0.00060854,0.303
21,2.204234,0.417069,2.931120,0.331169,0.00064224,0.311
22,2.129859,0.449722,2.879716,0.345455,0.00067346,0.317
23,2.017083,0.471614,2.880231,0.336364,0.00070185,0.310
24,1.892976,0.496475,2.855856,0.342857,0.00072710,0.310
25,1.806388,0.523191,2.766590,0.390909,0.00074894,0.304
26,1.711818,0.540260,2.808253,0.374026,0.00076713,0.312
27,1.620404,0.558071,2.766416,0.392208,0.00078147,0.314
28,1.529770,0.570686,2.721990,0.415584,0.00079179,0.300
29,1.428408,0.603711,2.775184,0.401299,0.00079799,0.301
30,1.342566,0.631169,2.849094,0.419481,0.00080000,0.309
31,1.264713,0.633395,2.751439,0.409091,0.00079958,0.315
32,1.178885,0.666790,2.734749,0.448052,0.00079835,0.316
33,1.088096,0.688312,2.845939,0.427273,0.00079632,0.310
